Element,Skill,Effect,Power,Accuracy,Crit Rate,Ailment Chance,Cost,Card/Notes
Physical,Cross Slash↓,Heavy Physical damage to 1 foe 2x. High accuracy. (Unique to Izanagi),160,99%,20%,N/A,20% HP,-
Physical,Beast Weaver↓,Colossal Physical damage to 1 foe and user's attack power greatly reduced. (Unique to Ariadne),1200,90%,5%,N/A,20% HP,-
Physical,Vajra Blast,Medium Physical damage to all foes.,80,80%,5%,N/A,13% HP,Kin-Ki^*
Physical,Vicious Strike,Medium Physical damage to all foes.,110,80%,5%,N/A,18% HP,Kin-Ki**
Physical,Heat Wave,Heavy Physical damage to all foes.,150,80%,5%,N/A,20% HP,Oberon*
Physical,Vorpal Blade,Severe Physical damage to all foes.,210,80%,10%,N/A,23% HP,Kali^ / Oberon**
Physical,Gigantomachia,Colossal Physical damage to all foes.,350,85%,5%,N/A,25% HP,Fafnir^ / Asterius Picaro*
Physical,Rampage,Light Physical damage to all foes 1x to 3x.,30,70%,10%,N/A,13% HP,Oni^*
Physical,Swift Strike,Minuscule Physical damage to all foes 2x to 4x.,20,70%,10%,N/A,17% HP,Take-Minakata^ / Girimehkala*
Physical,Deathbound,Medium Physical damage to all foes 1x to 2x.,100,80%,10%,N/A,22% HP,Girimehkala^**
Physical,Agneyastra,Medium Physical damage to all foes 1x to 3x.,110,80%,5%,N/A,24% HP,Asterius Picaro**
Physical,Memory Blow,Light Physical damage and inflict Forget (low odds) to all foes.,70,80%,5%,25%,15% HP,Black Ooze**
Physical,Dormin Rush,Medium Physical damage and inflict Sleep (low odds) to all foes.,80,80%,5%,25%,16% HP,Incubus**
Physical,Oni-Kagura,Medium Physical damage and inflict Rage (low odds) to all foes.,80,80%,5%,25%,16% HP,Ose^ / Yaksini**
Physical,Flash Bomb,Medium Physical damage and inflict Dizzy (low odds) to all foes.,100,80%,5%,25%,19% HP,-
Gun,"(Similar structure to Physical; e.g., Bullet Hail, etc.)",Various Gun damage skills,See wiki for full details,See wiki,See wiki,See wiki,HP cost,-
Fire,Agi,Light Fire damage to 1 foe.,40+,99%,-,25% (Burn),4 SP,-
Fire,Agilao,Medium Fire damage to 1 foe.,100+,99%,-,25% (Burn),8 SP,-
Fire,Agidyne,Heavy Fire damage to 1 foe.,160+,99%,-,25% (Burn),12 SP,-
Fire,Maragi,Light Fire damage to all foes.,40,95%,-,20%,10 SP,-
Fire,Maragion,Medium Fire damage to all foes.,100,95%,-,20%,16 SP,-
Fire,Maragidyne,Heavy Fire damage to all foes.,160,95%,-,20%,22 SP,-
Fire,Blazing Hell,Severe Fire damage to all foes.,180,95%,-,24%,54 SP,-
Ice,Bufu,Light Ice damage to 1 foe.,40,99%,-,25% (Freeze),4 SP,-
Ice,Bufula,Medium Ice damage to 1 foe.,100,99%,-,25% (Freeze),8 SP,-
Ice,Bufudyne,Heavy Ice damage to 1 foe.,160,99%,-,25% (Freeze),12 SP,-
Ice,Diamond Dust,Severe Ice damage to 1 foe.,200,98%,-,26%,48 SP,-
Ice,Mabufu etc.,Multi-target variants,Similar scaling,95%,-,20%,Higher SP,-
Electric,Zio,Light Electric damage to 1 foe.,40,99%,-,25% (Shock),4 SP,-
Electric,Zionga,Medium Electric damage to 1 foe.,100,99%,-,25% (Shock),8 SP,-
Electric,Ziodyne,Heavy Electric damage to 1 foe.,160,99%,-,25% (Shock),12 SP,-
Electric,Thunder Reign,Severe Electric damage to 1 foe.,200,98%,-,26%,48 SP,-
Electric,Mazio etc.,Multi-target variants,Similar,95%,-,20%,Higher SP,-
Wind,Garu,Light Wind damage to 1 foe.,40,99%,-,N/A,3 SP,-
Wind,Garula etc.,Higher tiers,100/160/200,99%/95%,-,N/A,Higher SP,-
Psychic,Psi,Light Psy damage to 1 foe.,40,99%,-,N/A,4 SP,-
Psychic,Psio etc.,Higher tiers,100/160/200,99%/95%,-,N/A,8-48 SP,-
Nuclear,Frei,Light Nuclear damage to 1 foe.,40,99%,-,N/A,4 SP,-
Nuclear,Freila etc.,Higher tiers,100/160/200,99%/95%,-,N/A,8-48 SP,-
Bless,Kouha,Light Bless damage to 1 foe.,50,99%,-,N/A,4 SP,-
Bless,Kouga etc.,Higher tiers,120/190,99%/95%,-,N/A,8-22 SP,-
Bless,Hama etc.,Instant kill variants,Inst.,25-50%,-,N/A,6-26 SP,-
Curse,Mudo etc.,Similar to Bless but Curse element,Inst./damage,Similar,Similar,N/A,Similar SP,-
Almighty,Megidola etc.,Almighty damage (no element resistance),Varies,Varies,Varies,Varies,High SP,-
Healing,Media etc.,Healing skills,Restores HP,-,-,-,SP cost,-
Support,Tarukaja etc.,Buffs/debuffs,-,-,-,-,SP cost,-
Status,Ailment skills (e.g. Marin Karin),Inflict status,-,-,-,High chance,SP cost,-
Other,"Passive skills (Regenerate, Null Phys, etc.)",Various passives,-,-,-,-,-,-
